"Species","CU_ID","Year","SpnForTrend_Total","SpnForTrend_Wild","DU_ID","CU_Name","CU_acro","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Chinook","CK-07",2008,628,628,"DU6","Maria Slough_SU_0.3","Maria",628,628,NA,NA
"Chinook","CK-07",2009,594,594,"DU6","Maria Slough_SU_0.3","Maria",594,594,NA,NA
"Chinook","CK-07",2010,617,617,"DU6","Maria Slough_SU_0.3","Maria",617,617,NA,NA
"Chinook","CK-07",2011,1509,1509,"DU6","Maria Slough_SU_0.3","Maria",1509,1509,NA,NA
"Chinook","CK-07",2012,328,328,"DU6","Maria Slough_SU_0.3","Maria",328,328,NA,NA
"Chinook","CK-07",2013,1043,1043,"DU6","Maria Slough_SU_0.3","Maria",1043,1043,NA,NA
"Chinook","CK-07",2014,346,346,"DU6","Maria Slough_SU_0.3","Maria",346,346,NA,NA
"Chinook","CK-07",2015,1238,1238,"DU6","Maria Slough_SU_0.3","Maria",1238,1238,NA,NA
"Chinook","CK-07",2016,105,105,"DU6","Maria Slough_SU_0.3","Maria",105,105,NA,NA
"Chinook","CK-07",2017,71,71,"DU6","Maria Slough_SU_0.3","Maria",71,71,NA,NA
"Chinook","CK-07",2018,0,1,"DU6","Maria Slough_SU_0.3","Maria",0,1,NA,NA
"Chinook","CK-07",2019,302,302,"DU6","Maria Slough_SU_0.3","Maria",302,302,NA,NA
"Chinook","CK-07",2020,26,26,"DU6","Maria Slough_SU_0.3","Maria",26,26,NA,NA
"Chinook","CK-07",2021,32,32,"DU6","Maria Slough_SU_0.3","Maria",32,32,NA,NA
"Chinook","CK-07",2022,38,38,"DU6","Maria Slough_SU_0.3","Maria",38,38,NA,NA
"Chinook","CK-08",1975,NA,NA,"DU7","Middle Fraser-Fraser Canyon_SP_1.3","FRCanyon",NA,NA,NA,NA
"Chinook","CK-08",1976,NA,NA,"DU7","Middle Fraser-Fraser Canyon_SP_1.3","FRCanyon",NA,NA,NA,NA
"Chinook","CK-08",1977,NA,NA,"DU7","Middle Fraser-Fraser Canyon_SP_1.3","FRCanyon",NA,NA,NA,NA
"Chinook","CK-08",1978,NA,NA,"DU7","Middle Fraser-Fraser Canyon_SP_1.3","FRCanyon",NA,NA,NA,NA
"Chinook","CK-08",1979,NA,NA,"DU7","Middle Fraser-Fraser Canyon_SP_1.3","FRCanyon",NA,NA,NA,NA
"Chinook","CK-08",1980,NA,NA,"DU7","Middle Fraser-Fraser Canyon_SP_1.3","FRCanyon",NA,NA,NA,NA
"Chinook","CK-08",1981,NA,NA,"DU7","Middle Fraser-Fraser Canyon_SP_1.3","FRCanyon",NA,NA,NA,NA
"Chinook","CK-08",1982,NA,NA,"DU7","Middle Fraser-Fraser Canyon_SP_1.3","FRCanyon",NA,NA,NA,NA
